dt,gyro_z,v_meas,v_sigma,a_lat,mask_gnss,e_gnss,n_gnss
0.1000,0.005599,-1.0000,2.0335,0.4281,1,584.647,-1409.482
0.1000,0.002669,-1.0000,2.0335,0.1553,1,584.647,-1409.482
0.1000,0.005657,18.3713,2.4938,1.7056,1,584.647,-1409.482
0.1000,0.003595,-1.0000,2.4938,-1.6941,1,584.647,-1409.482
0.1000,0.004536,-1.0000,2.4938,-1.5866,1,584.647,-1409.482
0.1000,0.005170,-1.0000,2.4938,3.1201,1,584.647,-1409.482
0.1000,0.004324,-1.0000,2.4938,0.6118,1,584.647,-1409.482
0.1000,0.005287,-1.0000,2.4938,-0.8973,1,584.647,-1409.482
0.1000,0.004572,-1.0000,2.4938,-0.9271,1,584.647,-1409.482
0.1000,0.005591,-1.0000,2.4938,1.6833,1,584.647,-1409.482
0.1000,0.004723,-1.0000,2.4938,1.8790,1,584.647,-1409.482
0.1000,0.004945,-1.0000,2.4938,-0.2057,1,584.647,-1409.482
0.1000,0.005718,17.1656,2.5134,-1.2157,1,584.647,-1409.482
0.1000,0.004341,-1.0000,2.5134,2.9191,1,584.647,-1409.482
0.1000,0.004975,-1.0000,2.5134,-0.9610,1,584.647,-1409.482
0.1000,0.006431,-1.0000,2.5134,-0.1148,1,584.647,-1409.482
0.1000,0.005060,-1.0000,2.5134,-0.8206,1,584.647,-1409.482
0.1000,0.005640,-1.0000,2.5134,0.3261,1,584.647,-1409.482
0.1000,0.004593,-1.0000,2.5134,1.2671,1,584.647,-1409.482
0.1000,0.004414,-1.0000,2.5134,-0.0218,1,584.647,-1409.482
0.1000,0.004981,-1.0000,2.5134,1.1028,1,584.647,-1409.482
0.1000,0.004928,-1.0000,2.5134,-2.5136,1,584.647,-1409.482
0.1000,0.004788,15.7522,2.1057,-1.2202,1,584.647,-1409.482
0.1000,0.004465,-1.0000,2.1057,1.0399,1,584.647,-1409.482
0.1000,0.003906,-1.0000,2.1057,-0.1028,1,584.647,-1409.482
0.1000,0.005267,-1.0000,2.1057,0.2425,1,584.647,-1409.482
0.1000,0.005092,-1.0000,2.1057,-1.4947,1,584.647,-1409.482
